task,MLP V2,Run C,Run A
hellaswag_zeroshot,0.4667,0.5467,0.3600
jeopardy,0.1400,0.1800,0.1600
bigbench_qa_wikidata,0.4800,0.4400,0.4600
arc_easy,0.6533,0.5733,0.5733
arc_challenge,0.2533,0.2000,0.2000
copa,0.3600,0.3200,0.4000
commonsense_qa,0.0250,0.1250,0.1000
piqa,0.5200,0.5600,0.4400
openbook_qa,0.2800,0.2000,0.1467
lambada_openai,0.5200,0.4200,0.4800
hellaswag,0.4133,0.4400,0.3333
winograd,0.2800,0.3200,0.2400
winogrande,0.0800,0.0400,0.0000
bigbench_dyck_languages,0.1600,0.1800,0.1800
agi_eval_lsat_ar,-0.0500,0.0250,-0.0250
bigbench_cs_algorithms,0.3400,0.3000,0.2800
bigbench_operators,0.1400,0.1800,0.1400
bigbench_repeat_copy_logic,0.0000,0.0000,0.0000
squad,0.5000,0.4600,0.3200
coqa,0.3000,0.3200,0.3400
boolq,-0.2632,-0.0526,0.0000
bigbench_language_identification,0.0979,0.1639,0.0539
